id,nom,gym,secteur,couleur,cotation_officielle,date_ouverture,date_retrait
b0284,CO-0284,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V5,2026-06-20,2026-09-08
b0285,DÉ-0285,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-06-20,2026-08-26
b0286,JO-0286,Rose Bloc Vieux-Longueuil,Joker,Rouge,V7,2026-06-20,2026-09-05
b0287,DA-0287,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V8,2026-06-20,2026-09-05
b0288,CO-0288,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V9,2026-06-20,2026-09-03
b0289,DÉ-0289,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-06-20,2026-08-20
b0290,JO-0290,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-06-20,2026-08-27
b0291,DA-0291,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V2,2026-06-20,2026-09-01
b0292,CO-0292,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-06-20,2026-08-21
b0293,DÉ-0293,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-06-20,2026-08-31
b0294,JO-0294,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-06-20,2026-09-02
b0295,DA-0295,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-06-20,2026-08-22
b0296,CO-0296,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-06-20,2026-08-30
b0297,DÉ-0297,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-06-20,2026-09-08
b0298,JO-0298,Rose Bloc Vieux-Longueuil,Joker,Noir,V9,2026-06-20,2026-09-06
b0299,DA-0299,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-06-20,2026-08-24
b0300,CO-0300,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-06-20,2026-09-07
b0301,DA-0301,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V2,2026-07-20,2026-09-23
b0302,CO-0302,Rose Bloc Vieux-Longueuil,Coordo,Vert,V3,2026-07-20,2026-10-05
b0303,DÉ-0303,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-07-20,2026-09-24
b0304,JO-0304,Rose Bloc Vieux-Longueuil,Joker,Bleu,V5,2026-07-20,2026-09-29
b0305,DA-0305,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-07-20,2026-10-04
b0306,CO-0306,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-07-20,2026-09-25
b0307,DÉ-0307,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-07-20,2026-10-07
b0308,JO-0308,Rose Bloc Vieux-Longueuil,Joker,Bleu,V8,2026-07-20,2026-10-07
b0309,DA-0309,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-07-20,2026-10-08
b0310,CO-0310,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V1,2026-07-20,2026-09-26
b0311,DÉ-0311,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V2,2026-07-20,2026-10-05
b0312,JO-0312,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-07-20,2026-09-21
b0313,DA-0313,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-07-20,2026-09-28
b0314,CO-0314,Rose Bloc Vieux-Longueuil,Coordo,Noir,V6,2026-07-20,2026-10-07
b0315,DÉ-0315,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V6,2026-07-20,2026-09-29
b0316,JO-0316,Rose Bloc Vieux-Longueuil,Joker,Rouge,V7,2026-07-20,2026-10-08
b0317,DA-0317,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-07-20,2026-10-08
b0318,CO-0318,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-07-20,2026-09-25
b0319,DÉ-0319,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-07-20,2026-09-29
b0320,JO-0320,Rose Bloc Vieux-Longueuil,Joker,Jaune,V1,2026-07-20,2026-10-01
b0321,DA-0321,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V2,2026-07-20,2026-09-26
b0322,CO-0322,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-07-20,2026-09-25
b0323,DÉ-0323,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-07-20,2026-09-21
b0324,JO-0324,Rose Bloc Vieux-Longueuil,Joker,Bleu,V5,2026-07-20,2026-09-26
b0325,DA-0325,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-07-20,2026-09-23
b0326,CO-0326,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-07-20,2026-10-03
b0327,DÉ-0327,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-07-20,2026-09-22
b0328,JO-0328,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-07-20,2026-09-24
b0329,DA-0329,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-07-20,2026-09-23
b0330,CO-0330,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V1,2026-07-20,2026-09-18
b0331,DÉ-0331,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-07-20,2026-09-26
b0332,JO-0332,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-07-20,2026-09-27
b0333,DA-0333,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-07-20,2026-09-20
b0334,CO-0334,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-07-20,2026-09-18
b0335,DÉ-0335,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-07-20,2026-09-28
b0336,JO-0336,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-07-20,2026-09-23
b0337,DA-0337,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-07-20,2026-09-26
b0338,CO-0338,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-07-20,2026-10-04
b0339,DÉ-0339,Rose Bloc Vieux-Longueuil,Dévers,Noir,V10,2026-07-20,2026-09-21
b0340,JO-0340,Rose Bloc Vieux-Longueuil,Joker,Jaune,V1,2026-07-20,2026-09-23
b0341,DA-0341,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V2,2026-07-20,2026-09-19
b0342,CO-0342,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-07-20,2026-09-26
b0343,DÉ-0343,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-07-20,2026-10-06
b0344,JO-0344,Rose Bloc Vieux-Longueuil,Joker,Vert,V4,2026-07-20,2026-09-26
b0345,DA-0345,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-07-20,2026-09-23
b0346,CO-0346,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-07-20,2026-09-26
b0347,DÉ-0347,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-07-20,2026-09-22
b0348,JO-0348,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-07-20,2026-09-25
b0349,DA-0349,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-07-20,2026-09-20
b0350,CO-0350,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V1,2026-07-20,2026-10-06
b0351,DA-0351,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-08-19,2026-11-03
b0352,CO-0352,Rose Bloc Vieux-Longueuil,Coordo,Vert,V3,2026-08-19,2026-10-18
b0353,DÉ-0353,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V5,2026-08-19,2026-10-26
b0354,JO-0354,Rose Bloc Vieux-Longueuil,Joker,Vert,V4,2026-08-19,2026-11-04
b0355,DA-0355,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-08-19,2026-10-31
b0356,CO-0356,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-08-19,2026-11-05
b0357,DÉ-0357,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V7,2026-08-19,2026-10-24
b0358,JO-0358,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-08-19,2026-10-29
b0360,CO-0360,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V1,2026-08-19,2026-10-29
b0361,DÉ-0361,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-08-19,2026-10-24
b0362,JO-0362,Rose Bloc Vieux-Longueuil,Joker,Vert,V4,2026-08-19,2026-10-19
b0363,DA-0363,Rose Bloc Vieux-Longueuil,Dalle,Vert,V4,2026-08-19,2026-10-28
b0364,CO-0364,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V4,2026-08-19,2026-10-20
b0365,DÉ-0365,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-08-19,2026-10-23
b0366,JO-0366,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-08-19,2026-10-27
b0367,DA-0367,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-08-19,2026-10-24
b0368,CO-0368,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-08-19,2026-10-20
b0369,DÉ-0369,Rose Bloc Vieux-Longueuil,Dévers,Noir,V9,2026-08-19,2026-10-22
b0370,JO-0370,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-08-19,2026-10-28
b0371,DA-0371,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-08-19,2026-10-19
b0372,CO-0372,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-08-19,2026-10-21
b0373,DÉ-0373,Rose Bloc Vieux-Longueuil,Dévers,Vert,V4,2026-08-19,2026-10-26
b0374,JO-0374,Rose Bloc Vieux-Longueuil,Joker,Vert,V4,2026-08-19,2026-11-07
b0375,DA-0375,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-08-19,2026-10-25
b0376,CO-0376,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-08-19,2026-10-24
b0377,DÉ-0377,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-08-19,2026-11-07
b0378,JO-0378,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-08-19,2026-10-26
b0379,DA-0379,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V9,2026-08-19,2026-10-25
b0380,CO-0380,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V1,2026-08-19,2026-10-23
b0381,DÉ-0381,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-08-19,2026-10-30
b0382,JO-0382,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-08-19,2026-10-20
b0383,DA-0383,Rose Bloc Vieux-Longueuil,Dalle,Vert,V4,2026-08-19,2026-10-21
b0384,CO-0384,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V5,2026-08-19,2026-11-05
b0385,DÉ-0385,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V6,2026-08-19,2026-10-21
b0386,JO-0386,Rose Bloc Vieux-Longueuil,Joker,Rouge,V7,2026-08-19,2026-10-26
b0387,DA-0387,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-08-19,2026-11-06
b0388,CO-0388,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-08-19,2026-11-03
b0389,DÉ-0389,Rose Bloc Vieux-Longueuil,Dévers,Noir,V9,2026-08-19,2026-10-24
b0390,JO-0390,Rose Bloc Vieux-Longueuil,Joker,Jaune,V1,2026-08-19,2026-10-25
b0391,DA-0391,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V2,2026-08-19,2026-10-30
b0392,CO-0392,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-08-19,2026-11-01
b0393,DÉ-0393,Rose Bloc Vieux-Longueuil,Dévers,Vert,V4,2026-08-19,2026-11-07
b0394,JO-0394,Rose Bloc Vieux-Longueuil,Joker,Bleu,V5,2026-08-19,2026-10-26
b0395,DA-0395,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-08-19,2026-10-21
b0396,CO-0396,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-08-19,2026-10-26
b0398,JO-0398,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-08-19,2026-10-23
b0399,DA-0399,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-08-19,2026-11-03
b0400,CO-0400,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-08-19,2026-10-28
